target,target_type,count,intercept_C,ratio_exponent_k,ratio_fit_r2,a_exponent,b_exponent,two_factor_r2
drive_all,path,3,0.5785430376323899,1.5510020887408618,0.9996748131998219,-1.5510020887408604,0.7595669045499428,0.9996748131998219
drn_all,path,3,0.3066806674081983,0.18508148736875615,0.37734179521324973,-0.18508148736875601,0.6134521277100734,0.37734179521325173
ff_all,path,3,0.2697168652090445,1.5206374460067724,0.9831771341800101,-1.520637446006771,1.1070143909424752,0.98317713418001
block_0/drn/W0,weight,3,0.5797495111750712,1.5047413152748566,0.862850198193813,-1.504741315274855,0.7435784957417588,0.862850198193813
block_0/drn/W1,weight,3,1.1121997313042224,2.295094187197759,0.9807557628846802,-2.2950941871977575,0.6950411673137257,0.9807557628846801
block_0/drn/b0,bias,3,0.23161626113283623,1.9922420710409428,0.9997583355576345,-1.9922420710409403,1.331367209422766,0.9997583355576345
block_0/drn/b1,bias,3,0.5547760546016072,2.0287499136322427,0.9999254404555545,-2.02874991363224,0.9342511420295577,0.9999254404555545
block_0/drn/b2,bias,3,0.4793565924247045,0.9674298195897025,0.9999030664873549,-0.9674298195897016,0.6582329651655755,0.9999030664873549
block_1/drn/W0,weight,3,0.3679102511498054,-0.3781357343003425,0.3087685436951809,0.3781357343003423,0.3454433702049253,0.30876854369518125
block_1/drn/W1,weight,3,0.37157169488005415,0.3040262221656918,0.39153117585305774,-0.30402622216569153,0.5621896376670701,0.39153117585305697
block_1/drn/b0,bias,3,0.4530282655620568,0.9192725108457701,0.999803541388387,-0.9192725108457691,0.6690531228243324,0.999803541388387
block_1/drn/b1,bias,3,1.2081219124599023,1.0333411640707384,0.9999745509208305,-1.0333411640707377,0.24683026386825693,0.9999745509208305
block_1/drn/b2,bias,3,1.0369363577848552,0.025820174393858315,0.9661735138072829,-0.025820174393858294,-0.008602402661664517,0.9661735138072829
