voltage_amp,current_amp,beta,overall_cosine,overall_relative_error,displacement_mean,block_0_drn_cosine,block_1_drn_cosine,block_0_drn_relative_error,block_1_drn_relative_error
1.0,1.0,0.0001,0.8045039024176862,0.7570261286796371,0.1704310336673489,0.9334388423388676,0.4281829981643194,0.40239619857421965,2.0436748969660554
1.0,1.0,0.001,0.9915688196633126,0.1358390044882144,0.17043103618203842,0.9971877556637367,0.940894067236515,0.07886766556722506,0.35888475632521977
1.0,1.0,0.01,0.997189669674375,0.0818478456877631,0.17043126743814058,0.9981263505991833,0.9822185619719381,0.06396794082340206,0.1908441051707251
1.0,1.0,0.1,0.9973023993737514,0.08046606969566697,0.17045449342131636,0.9981550047968619,0.9829915992061342,0.06344687633574785,0.18656226516055616
4.0,1.0,0.0001,0.5910278838500435,166.64241421353128,0.28569183298408324,0.8272632871330271,0.20854296376600281,236.151931269772,20.652748324156594
4.0,1.0,0.001,0.6362788539877793,152.655838470499,0.28569184515194934,0.892101562167844,0.724768414941504,216.41514594766244,5.0766394291384
4.0,1.0,0.01,0.6373264829797987,152.06266908485105,0.28569314961180364,0.8935428830447796,0.9768688612772605,215.6062405851516,3.319984140547023
4.0,1.0,0.1,0.637354093999574,151.89559220145992,0.2858234426844767,0.8935798457708194,0.9865303590117082,215.3620637925889,3.2638183600715642
