target,target_type,count,intercept_C,ratio_exponent_k,ratio_fit_r2,a_exponent,b_exponent,two_factor_r2
drive_all,path,2,0.055139110488046594,1.1186986923227589,1.0,nan,nan,nan
drn_all,path,2,1.3695902769231267,2.168849689324471,1.0,nan,nan,nan
ff_all,path,2,0.4318825686711975,2.8538534212524946,1.0,nan,nan,nan
block_0/drn/W0,weight,2,1.385187429039807,4.224970759474859,1.0,nan,nan,nan
block_0/drn/W1,weight,2,3.102732739910461,4.761002775259387,1.0,nan,nan,nan
block_0/drn/b0,bias,2,1.0901689647372916,4.062303330883182,1.0,nan,nan,nan
block_0/drn/b1,bias,2,1.1399471994654273,3.04269797952085,1.0,nan,nan,nan
block_0/drn/b2,bias,2,1.0784102901923098,2.054458502798747,1.0,nan,nan,nan
block_1/drn/W0,weight,2,0.3649311457326075,1.1735719249716197,1.0,nan,nan,nan
block_1/drn/W1,weight,2,4.858848275334253,3.0986030859587395,1.0,nan,nan,nan
block_1/drn/b0,bias,2,1.0646604656126861,2.0451994113656746,1.0,nan,nan,nan
block_1/drn/b1,bias,2,1.1611715397451323,1.0202067231106333,1.0,nan,nan,nan
block_1/drn/b2,bias,2,1.082669984479993,0.057296932984278,1.0,nan,nan,nan
