target,target_type,count,intercept_C,ratio_exponent_k,ratio_fit_r2,a_exponent,b_exponent,two_factor_r2
drive_all,path,2,454.811418255339,7.606065244887096,1.0,nan,nan,nan
drn_all,path,2,0.4046835694924001,1.2771074117866439,1.0,nan,nan,nan
ff_all,path,2,0.1956581015878366,2.289819956182048,1.0,nan,nan,nan
block_0/drn/W0,weight,2,2.344850307220862,4.601157343554607,1.0,nan,nan,nan
block_0/drn/W1,weight,2,2.818968519261236,4.687287042757868,1.0,nan,nan,nan
block_0/drn/b0,bias,2,1.0010135209358724,4.000747642740593,1.0,nan,nan,nan
block_0/drn/b1,bias,2,0.9690918424755005,2.9263842360075025,1.0,nan,nan,nan
block_0/drn/b2,bias,2,1.0000687483278794,2.0000443816156035,1.0,nan,nan,nan
block_1/drn/W0,weight,2,11.569896297788262,3.654233427025369,1.0,nan,nan,nan
block_1/drn/W1,weight,2,6.49551726467899,3.2991742777124666,1.0,nan,nan,nan
block_1/drn/b0,bias,2,1.000052629400899,2.0000396194355328,1.0,nan,nan,nan
block_1/drn/b1,bias,2,0.8804379792948029,0.824809533550524,1.0,nan,nan,nan
block_1/drn/b2,bias,2,0.9999988519041295,-1.1808470984325053e-06,1.0,nan,nan,nan
