voltage_amp,current_amp,amp_ratio,group,tensor,kind,cosine,relative_error,bp_norm,ep_norm,ep_bp_norm_ratio
4.0,0.9,4.444444444444445,head,module.2.weight,other,1.0007193287875074,0.0,0.33453547954559326,0.33453547954559326,1.0
4.0,0.9,4.444444444444445,head,module.2.bias,other,1.0000000678888068,0.0,0.02680446393787861,0.02680446393787861,1.0
4.0,0.9,4.444444444444445,head,module.4.weight,other,1.00000014429731,0.0,2.1113102436065674,2.1113102436065674,1.0
4.0,0.9,4.444444444444445,head,module.4.bias,other,1.0000000935164957,0.0,0.1888832300901413,0.1888832300901413,1.0
4.0,0.9,4.444444444444445,block_0/ff,base_ff.0.weight,bias,0.9999999411448856,0.9974375987168259,0.43793946504592896,0.0011221755994483829,0.002562398890747822
4.0,0.9,4.444444444444445,block_0/ff,base_ff.0.bias,bias,0.9999999632484555,0.9974383255518591,0.17354904115200043,0.000444573670392856,0.0025616601938093253
4.0,0.9,4.444444444444445,block_0/drive,drive_scale,other,1.0000000211686366,0.9974369863181588,0.33313772082328796,0.0008538472466170788,0.0025630458313365234
4.0,0.9,4.444444444444445,block_0/drn,W0,weight,0.9991992094923683,0.9975506991956038,2.7405521869659424,0.006718046963214874,0.002451347941909621
4.0,0.9,4.444444444444445,block_0/drn,W1,weight,0.9752513899949403,0.9974726246423367,0.656143307685852,0.0017005227273330092,0.0025916940817861463
4.0,0.9,4.444444444444445,block_0/drn,b0,bias,0.9999997793560913,0.9974370914489187,0.238334059715271,0.0006107616936787963,0.0025626286667060974
4.0,0.9,4.444444444444445,block_0/drn,b1,bias,0.9979674695895884,0.9877055320920377,0.6408782601356506,0.007895463146269321,0.01231975499465084
4.0,0.9,4.444444444444445,block_0/drn,b2,bias,0.9999997053626599,0.9493750305162826,1.4966455698013306,0.0757678747177124,0.05062512878568175
4.0,0.9,4.444444444444445,block_1/ff,base_ff.0.weight,bias,0.9999989135674318,0.9493790824587136,0.04862659424543381,0.0024615272413939238,0.050621008515830186
4.0,0.9,4.444444444444445,block_1/ff,base_ff.0.bias,bias,0.999998062827157,0.9493915152158985,0.026370633393526077,0.001334581058472395,0.05060860839239573
4.0,0.9,4.444444444444445,block_1/drive,drive_scale,other,1.000000018175018,0.9493843602886783,0.03128291666507721,0.0015834053047001362,0.050615654596803505
4.0,0.9,4.444444444444445,block_1/drn,W0,weight,0.9931743897503323,0.9506920466512664,0.6434111595153809,0.03195521607995033,0.04966531215283722
4.0,0.9,4.444444444444445,block_1/drn,W1,weight,0.9879791741207699,0.9532464691247223,1.895151972770691,0.08974184840917587,0.04735337835623509
4.0,0.9,4.444444444444445,block_1/drn,b0,bias,0.9999997803010259,0.9493756223393367,0.06871867179870605,0.0034788602497428656,0.0506246724315817
4.0,0.9,4.444444444444445,block_1/drn,b1,bias,0.9984736295291227,0.7432678445912564,0.09561136364936829,0.024597005918622017,0.2572602772284017
4.0,0.9,4.444444444444445,block_1/drn,b2,bias,1.0000011619538722,4.25087111174052e-05,0.1943672001361847,0.19436731934547424,1.0000006133199917
4.0,1.1,3.6363636363636362,head,module.2.weight,other,1.000751968816476,0.0,0.2702219486236572,0.2702219486236572,1.0
4.0,1.1,3.6363636363636362,head,module.2.bias,other,1.0000000414208867,0.0,0.03712368756532669,0.03712368756532669,1.0
4.0,1.1,3.6363636363636362,head,module.4.weight,other,0.999999985004768,0.0,1.8337287902832031,1.8337287902832031,1.0
4.0,1.1,3.6363636363636362,head,module.4.bias,other,1.0000000360314318,0.0,0.15486083924770355,0.15486083924770355,1.0
4.0,1.1,3.6363636363636362,block_0/ff,base_ff.0.weight,bias,0.9999998599281459,0.994281345634735,0.5548705458641052,0.003173078643158078,0.005718592682220341
4.0,1.1,3.6363636363636362,block_0/ff,base_ff.0.bias,bias,1.00000004382399,0.9942800414300547,0.2408352494239807,0.0013775632251054049,0.005719940201445597
4.0,1.1,3.6363636363636362,block_0/drive,drive_scale,other,0.999999992949175,0.9942813048716835,0.20606598258018494,0.001178430044092238,0.005718702472562079
4.0,1.1,3.6363636363636362,block_0/drn,W0,weight,0.9983003640968856,0.9938389339527403,3.1400794982910156,0.0193792637437582,0.006171583794074431
4.0,1.1,3.6363636363636362,block_0/drn,W1,weight,0.98754865505752,0.9934444344777729,0.7827674150466919,0.005196541082113981,0.006638678338193228
4.0,1.1,3.6363636363636362,block_0/drn,b0,bias,0.9999997751020266,0.9942802938085257,0.16060733795166016,0.0009185798699036241,0.0057194140792004135
4.0,1.1,3.6363636363636362,block_0/drn,b1,bias,0.9985050588639913,0.9778702476324737,0.5439004898071289,0.012054700404405594,0.02216342994778379
4.0,1.1,3.6363636363636362,block_0/drn,b2,bias,1.0000005540724601,0.9243740329147282,1.6201080083847046,0.12252207100391388,0.07562586591129315
4.0,1.1,3.6363636363636362,block_1/ff,base_ff.0.weight,bias,0.9999988651202864,0.9243930233130137,0.05028475821018219,0.0038018834311515093,0.07560707392208686
4.0,1.1,3.6363636363636362,block_1/ff,base_ff.0.bias,bias,0.9999997793176046,0.9243701764262782,0.0457308404147625,0.003458616556599736,0.07562984903035481
4.0,1.1,3.6363636363636362,block_1/drive,drive_scale,other,0.9999999768214359,0.9244093651715113,0.06943352520465851,0.005248527508229017,0.0755906817745281
4.0,1.1,3.6363636363636362,block_1/drn,W0,weight,0.8760514290447927,0.910781659425737,0.5613970756530762,0.058048419654369354,0.10339993236844229
4.0,1.1,3.6363636363636362,block_1/drn,W1,weight,0.9947907748313924,0.9087234140229214,1.7657661437988281,0.16210924088954926,0.09180674431824319
4.0,1.1,3.6363636363636362,block_1/drn,b0,bias,0.9999999837338263,0.9243747572856169,0.04984410107135773,0.00376946572214365,0.07562511192141301
4.0,1.1,3.6363636363636362,block_1/drn,b1,bias,0.9982511537970202,0.6971951810839234,0.09070292860269547,0.027534445747733116,0.30356732877217
4.0,1.1,3.6363636363636362,block_1/drn,b2,bias,1.0000005040231004,1.9910564616454774e-05,0.2375580072402954,0.23755809664726257,1.000000376358466
