num_iterations,voltage_amp,current_amp,amp_ratio,group,tensor,kind,cosine,relative_error,bp_norm,ep_norm,ep_bp_norm_ratio
128,4.0,1.0,4.0,head,module.2.weight,other,1.0008747847429538,0.0,1.8242290019989014,1.8242290019989014,1.0
128,4.0,1.0,4.0,head,module.2.bias,other,0.9999999183777978,0.0,0.014658222906291485,0.014658222906291485,1.0
128,4.0,1.0,4.0,head,module.4.weight,other,1.0000003944563218,0.0,5.808175563812256,5.808175563812256,1.0
128,4.0,1.0,4.0,head,module.4.bias,other,0.9999998574690373,0.0,0.40013211965560913,0.40013211965560913,1.0
128,4.0,1.0,4.0,block_0/ff,base_ff.0.weight,bias,0.9194938572084455,0.9990130090516203,0.18257486820220947,0.00019601572421379387,0.0010736183251503053
128,4.0,1.0,4.0,block_0/ff,base_ff.0.bias,bias,0.914601497769847,0.9983253959797459,0.2573215961456299,0.00047122398973442614,0.0018312648327726804
128,4.0,1.0,4.0,block_0/drive,drive_scale,other,0.9999999918888162,0.9994558947294364,0.14084897935390472,7.663339783903211e-05,0.0005440820245241459
128,4.0,1.0,4.0,block_0/drn,W0,weight,0.21487968687042697,0.9995974282272563,1.302332878112793,0.0024499467108398676,0.0018811985414896987
128,4.0,1.0,4.0,block_0/drn,W1,weight,0.6044575642186489,0.9983370402053037,1.1148452758789062,0.0030708482954651117,0.002754506263700278
128,4.0,1.0,4.0,block_0/drn,b0,bias,0.5169706306032993,0.9998034032961535,0.707627534866333,0.00026887559215538204,0.0003799676791918098
128,4.0,1.0,4.0,block_0/drn,b1,bias,0.5019382355257678,0.9989324020682283,1.6704518795013428,0.0035585283767431974,0.002130278890646929
128,4.0,1.0,4.0,block_0/drn,b2,bias,0.4585080744529051,0.9933728627812127,2.477062702178955,0.03626279532909393,0.014639433752401692
128,4.0,1.0,4.0,block_1/ff,base_ff.0.weight,bias,0.9710678232752393,0.9735886111301363,0.56044602394104,0.01525566540658474,0.027220579243844654
128,4.0,1.0,4.0,block_1/ff,base_ff.0.bias,bias,0.980267083007748,0.9644205119513646,0.039300598204135895,0.0014275156427174807,0.036323000360011126
128,4.0,1.0,4.0,block_1/drive,drive_scale,other,0.9999999746679683,0.9546127910155808,0.20084448158740997,0.009115773253142834,0.045387222895519476
128,4.0,1.0,4.0,block_1/drn,W0,weight,0.1402578686521845,0.9985249973607313,2.633267879486084,0.7098500728607178,0.26957001921097906
128,4.0,1.0,4.0,block_1/drn,W1,weight,0.20042413561346994,0.9798099717517021,1.732204794883728,0.32321271300315857,0.18659035811343186
128,4.0,1.0,4.0,block_1/drn,b0,bias,0.6127502723591123,0.9810634058574857,0.04146399721503258,0.001302687218412757,0.0314173091334396
128,4.0,1.0,4.0,block_1/drn,b1,bias,0.8145030668696325,0.9071055629302637,0.062354426831007004,0.007306847721338272,0.11718250159112671
128,4.0,1.0,4.0,block_1/drn,b2,bias,0.8480366803322091,0.5720667282620714,0.10673511028289795,0.06751726567745209,0.6325684725344806
