num_iterations,voltage_amp,current_amp,amp_ratio,beta,overall_cosine,ff_flat_cosine,drive_flat_cosine,drn_flat_cosine,drn_local_mean_cosine,drn_weight_mean_cosine,drn_bias_mean_cosine,drn_ep_bp_norm_ratio,mean_relative_disp
8,4.0,0.25,16.0,0.01,0.7603118310559486,-0.0016799351833800703,-0.538412164997917,-0.005272744140728136,0.21647833561969532,-0.031456229004899826,0.3817680453694254,0.08280672291455723,0.038787838460215066
8,4.0,0.5,8.0,0.01,0.6632192882475896,0.2292669186273306,0.16775563377431327,0.07769927422964833,0.6552979006619515,0.25531703286920143,0.9219518125237848,0.03864884202186474,0.22987863982215437
8,4.0,1.0,4.0,0.01,0.46007401235191514,0.6619355151985375,0.40883505847656854,0.4221271731307708,0.9697832596502403,0.9329034150547681,0.9943698227138883,0.050835229163530615,0.33122319521064925
8,4.0,2.0,2.0,0.01,0.7169339846316742,0.933728230536524,0.799700114089863,0.6694695070934746,0.9146547047392568,0.7974662698609785,0.9927803279914423,0.4120067166353333,0.3559101962220516
16,4.0,0.25,16.0,0.01,0.582015632739649,0.15413608845924492,-0.8729791929718049,-0.00025968801223912356,0.2339213121439785,0.03945064864984643,0.36356842114006654,0.06389688150642236,0.008333042696116368
16,4.0,0.5,8.0,0.01,0.5978559043688172,0.22041632196899183,0.8846516374139582,0.0407123824178998,0.5897963093760034,0.312012776912378,0.7749853310184202,0.04711429738061237,0.07246055194450655
16,4.0,1.0,4.0,0.01,0.5406191810620672,0.515256931296929,0.14568644879560746,0.5394683076572173,0.9045073066723555,0.8708295557746234,0.926959140604177,0.050045974319510446,0.16640616038102538
16,4.0,2.0,2.0,0.01,0.7423841648240025,0.9110703224923568,0.7286040925542667,0.5758977148849111,0.8368059651000831,0.7182629823045625,0.9158346202970967,0.3518298546297868,0.19615542422780183
32,4.0,0.25,16.0,0.01,0.6256375695793199,-0.004825003315464147,0.9565356664641455,-0.002621770459620109,0.1778548699342391,-0.059974956368748895,0.33640808746956435,0.11545654490851134,0.004848216068282664
32,4.0,0.5,8.0,0.01,0.6424998796978032,0.12454597876328814,-0.9802072699805062,0.010734982279200972,0.39421363325042036,0.08818219410752778,0.5982345926790155,0.1039385039861811,0.012180952533531186
32,4.0,1.0,4.0,0.01,0.6083484593119682,0.6229755205708193,-0.6220397361702461,0.573981980933804,0.7508073026187156,0.6971061543735289,0.7866080681155068,0.05892230344439738,0.07008718298497149
32,4.0,2.0,2.0,0.01,0.8036068283612008,0.8607923385455212,0.2829029577468557,0.4790067079581115,0.7334602683730875,0.5927366073572207,0.8272760423836653,0.26414209360703106,0.08392934621277597
128,4.0,0.25,16.0,0.01,0.6851831505684918,-0.002798458261883971,0.10161650350882874,-0.002743936929131036,0.12347777110283124,-0.052895918201232225,0.24106023063887352,0.1024554687629309,0.0012082396398301457
128,4.0,0.5,8.0,0.01,0.5783498589896529,0.3066098009841104,0.7619435710807075,0.014715890541666768,0.3868149437983884,0.12193349558221503,0.563402575942504,0.1317911923810682,0.0013705496868186475
128,4.0,1.0,4.0,0.01,0.791115168593068,0.8605999847800037,0.8235354961016323,0.11556679676128503,0.49127262154976564,0.2900048138386826,0.625451160023821,0.16597048077952023,0.0015988398008415722
128,4.0,2.0,2.0,0.01,0.7561434170712334,0.9887725742742925,-0.1998549014758134,0.3217394410611327,0.49706227808953257,0.38751250148256783,0.5700954624941758,0.3623588782508167,0.004538180200746888
