num_iterations,voltage_amp,current_amp,amp_ratio,group,tensor,kind,cosine,relative_error,bp_norm,ep_norm,ep_bp_norm_ratio
8,4.0,0.25,16.0,head,module.2.weight,other,1.0008206033888418,0.0,1.1520464420318604,1.1520464420318604,1.0
8,4.0,0.25,16.0,head,module.2.bias,other,0.9999999296623663,0.0,0.006016609258949757,0.006016609258949757,1.0
8,4.0,0.25,16.0,head,module.4.weight,other,0.9999999493719283,0.0,3.390655040740967,3.390655040740967,1.0
8,4.0,0.25,16.0,head,module.4.bias,other,1.0000000187820581,0.0,0.26990753412246704,0.26990753412246704,1.0
8,4.0,0.25,16.0,block_0/ff,base_ff.0.weight,bias,-0.9971044976712333,1.0002457854028672,0.09933687001466751,2.448822488076985e-05,0.000246516976799793
8,4.0,0.25,16.0,block_0/ff,base_ff.0.bias,bias,0.34835779811415774,0.9999732542940034,0.37885668873786926,2.911330375354737e-05,7.684516235027026e-05
8,4.0,0.25,16.0,block_0/drive,drive_scale,other,-1.0000000195755114,1.0001296400707802,0.07637932896614075,9.903641512210015e-06,0.00012966389789311107
8,4.0,0.25,16.0,block_0/drn,W0,weight,-0.07662805780509795,1.0001776942295773,1.8884921073913574,0.004314519930630922,0.002284637523103406
8,4.0,0.25,16.0,block_0/drn,W1,weight,-0.04774317204579004,1.0000041221142624,0.9543419480323792,8.669670205563307e-05,9.084448423794068e-05
8,4.0,0.25,16.0,block_0/drn,b0,bias,0.1843696050812565,0.9999867495190304,0.6522535681724548,4.74607186333742e-05,7.276421463872415e-05
8,4.0,0.25,16.0,block_0/drn,b1,bias,0.6466147422551717,0.9997721193210262,0.43667569756507874,0.00015375374641735107,0.0003521005342744928
8,4.0,0.25,16.0,block_0/drn,b2,bias,0.17197276230521352,0.9966748803287959,0.2835824191570282,0.005820241291075945,0.020523984908433622
8,4.0,0.25,16.0,block_1/ff,base_ff.0.weight,bias,-0.012595509245549452,1.0002726436862581,0.12395604699850082,0.001727527822367847,0.01393661595540184
8,4.0,0.25,16.0,block_1/ff,base_ff.0.bias,bias,0.11861761059967532,0.9975075055965809,0.005532274022698402,0.00012872711522504687,0.023268391026346775
8,4.0,0.25,16.0,block_1/drive,drive_scale,other,-1.000000020712085,1.0084644148586788,0.04611537232995033,0.00039033981738612056,0.008464418645333335
8,4.0,0.25,16.0,block_1/drn,W0,weight,-0.02250270018857291,1.0388535065062028,0.9486929774284363,0.24651741981506348,0.25984952527348004
8,4.0,0.25,16.0,block_1/drn,W1,weight,0.021049014019861596,0.9997811238896078,1.7477586269378662,0.04180099815130234,0.02391691707712474
8,4.0,0.25,16.0,block_1/drn,b0,bias,0.08621322638656935,0.9974975989123277,0.008093987591564655,0.0002984830061905086,0.03687712673312965
8,4.0,0.25,16.0,block_1/drn,b1,bias,0.2872662421529166,0.9616715309702119,0.0038201180286705494,0.0007702407892793417,0.2016274846741831
8,4.0,0.25,16.0,block_1/drn,b2,bias,0.9141716940354246,0.42839241218181207,0.005962742958217859,0.006278466898947954,1.052949446746646
8,4.0,0.5,8.0,head,module.2.weight,other,1.0012491955659586,0.0,0.8137953877449036,0.8137953877449036,1.0
8,4.0,0.5,8.0,head,module.2.bias,other,1.000000057845613,0.0,0.00951015017926693,0.00951015017926693,1.0
8,4.0,0.5,8.0,head,module.4.weight,other,0.999999933519562,0.0,3.4919707775115967,3.4919707775115967,1.0
8,4.0,0.5,8.0,head,module.4.bias,other,0.9999999557607638,0.0,0.3399101793766022,0.3399101793766022,1.0
8,4.0,0.5,8.0,block_0/ff,base_ff.0.weight,bias,0.9754127104663656,0.999638511910246,0.34288227558135986,0.00012707593850791454,0.0003706109867955589
8,4.0,0.5,8.0,block_0/ff,base_ff.0.bias,bias,0.9941371874163492,0.999787419135831,0.5803984999656677,0.00012412384967319667,0.00021385970101669622
8,4.0,0.5,8.0,block_0/drive,drive_scale,other,1.0000000079760036,0.9995040853236032,0.14969830214977264,7.423452188959345e-05,0.0004958942140527556
8,4.0,0.5,8.0,block_0/drn,W0,weight,-0.0011670163373275026,1.000002886935111,2.229804754257202,0.0033931746147572994,0.0015217362005704583
8,4.0,0.5,8.0,block_0/drn,W1,weight,0.6373670367541031,0.9998905116800837,0.9788181185722351,0.0001681655558058992,0.0001718047026460809
8,4.0,0.5,8.0,block_0/drn,b0,bias,0.8695411804584939,0.9998414032122367,0.49383410811424255,8.997705299407244e-05,0.00018220096894007437
8,4.0,0.5,8.0,block_0/drn,b1,bias,0.9773570640405586,0.9985014696094738,0.7120591998100281,0.0010915865423157811,0.0015329997036861655
8,4.0,0.5,8.0,block_0/drn,b2,bias,0.8401920041576554,0.9877239319390411,0.8655880689620972,0.012680121697485447,0.01464914103158773
8,4.0,0.5,8.0,block_1/ff,base_ff.0.weight,bias,0.8526586336411622,0.9854342058089101,0.11350761353969574,0.001944426097907126,0.01713035837219081
8,4.0,0.5,8.0,block_1/ff,base_ff.0.bias,bias,0.9301421547482105,0.9862767809031128,0.02795429714024067,0.000412883295211941,0.014769940132659917
8,4.0,0.5,8.0,block_1/drive,drive_scale,other,-1.0000000322953826,1.002792323882067,0.04984532669186592,0.00013918285549152642,0.0027922949798669726
8,4.0,0.5,8.0,block_1/drn,W0,weight,-0.02823686721502869,1.0072546229323216,1.5170848369598389,0.145174041390419,0.09569276407859986
8,4.0,0.5,8.0,block_1/drn,W1,weight,0.4133049782750589,0.9934690464128021,2.5464351177215576,0.04091189056634903,0.016066339284134305
8,4.0,0.5,8.0,block_1/drn,b0,bias,0.8675515845438196,0.9886972930902475,0.05298566073179245,0.0006916133570484817,0.013052840098557079
8,4.0,0.5,8.0,block_1/drn,b1,bias,0.9904678898890208,0.8949605188566377,0.03909318521618843,0.004150571767240763,0.10617123532625367
8,4.0,0.5,8.0,block_1/drn,b2,bias,0.9866011520531601,0.22039625984656774,0.04329605773091316,0.0363004170358181,0.8384231483944042
8,4.0,1.0,4.0,head,module.2.weight,other,1.0007792593619784,0.0,0.31131723523139954,0.31131723523139954,1.0
8,4.0,1.0,4.0,head,module.2.bias,other,0.999999924975886,0.0,0.02607661858201027,0.02607661858201027,1.0
8,4.0,1.0,4.0,head,module.4.weight,other,0.999999935745278,0.0,1.9704114198684692,1.9704114198684692,1.0
8,4.0,1.0,4.0,head,module.4.bias,other,1.0000000114088299,0.0,0.16538488864898682,0.16538488864898682,1.0
8,4.0,1.0,4.0,block_0/ff,base_ff.0.weight,bias,0.9998815159374793,0.9967539317935843,0.593242883682251,0.0019259408582001925,0.0032464626397975516
8,4.0,1.0,4.0,block_0/ff,base_ff.0.bias,bias,0.9976355408932519,0.997027787437032,0.2047910839319229,0.0006101273465901613,0.0029792671383729826
8,4.0,1.0,4.0,block_0/drive,drive_scale,other,0.9999999728512942,0.9967876773436877,0.23573198914527893,0.0007572494214400649,0.0032123320393880896
8,4.0,1.0,4.0,block_0/drn,W0,weight,0.9747847639708735,0.996746702564605,3.397648811340332,0.011340538039803505,0.0033377605130795723
8,4.0,1.0,4.0,block_0/drn,W1,weight,0.9795353555175014,0.9965690515959231,0.7947463393211365,0.002783870557323098,0.0035028416232795105
8,4.0,1.0,4.0,block_0/drn,b0,bias,0.9906857196698344,0.9972559237428434,0.20867562294006348,0.0005780439241789281,0.002770059655434482
8,4.0,1.0,4.0,block_0/drn,b1,bias,0.9949545309031635,0.9873665906317406,0.5862089395523071,0.0074440427124500275,0.012698616841522594
8,4.0,1.0,4.0,block_0/drn,b2,bias,0.9914716375128908,0.94806686530067,1.3981788158416748,0.07327016443014145,0.05240400126219501
8,4.0,1.0,4.0,block_1/ff,base_ff.0.weight,bias,0.9910469221866673,0.9477281974241165,0.04181567206978798,0.0022066321689635515,0.05277045805411923
8,4.0,1.0,4.0,block_1/ff,base_ff.0.bias,bias,0.9913516599205774,0.9508925100601527,0.03157654032111168,0.0015648797852918506,0.04955830402501669
8,4.0,1.0,4.0,block_1/drive,drive_scale,other,1.0000000103362823,0.8752452874365421,0.016578998416662216,0.002068308414891362,0.12475472660716777
8,4.0,1.0,4.0,block_1/drn,W0,weight,0.8024805454338093,0.9410749042480165,0.7122685313224792,0.05324137955904007,0.07474902683147609
8,4.0,1.0,4.0,block_1/drn,W1,weight,0.9748129952968886,0.940714005368955,1.7434144020080566,0.10620797425508499,0.0609195232830216
8,4.0,1.0,4.0,block_1/drn,b0,bias,0.9958864820321007,0.9520498528983399,0.05661693587899208,0.00272657279856503,0.04815825434976842
8,4.0,1.0,4.0,block_1/drn,b1,bias,0.9986372174683418,0.7748625636495642,0.0870942547917366,0.019642747938632965,0.2255343706149564
