voltage_amp,current_amp,beta,overall_cosine,overall_relative_error,displacement_mean,head_cosine,block_0_ff_cosine,block_0_drn_cosine,block_1_ff_cosine,block_1_drn_cosine,block_0_drn_relerr,block_1_drn_relerr
1.0,1.0,0.0001,0.8045039024176862,0.7570261286796371,0.1704310336673489,1.0000102828051471,0.999642695450678,0.9334388423388676,0.9922631858013351,0.4281829981643194,0.40239619857421965,2.0436748969660554
1.0,1.0,0.001,0.9915688196633126,0.1358390044882144,0.17043103618203842,1.0000102828051471,0.9999978333257306,0.9971877556637367,0.9998340084456092,0.940894067236515,0.07886766556722506,0.35888475632521977
1.0,1.0,0.01,0.997189669674375,0.0818478456877631,0.17043126743814058,1.0000102828051471,0.9999999636439133,0.9981263505991833,0.999988972368943,0.9822185619719381,0.06396794082340206,0.1908441051707251
1.0,1.0,0.1,0.9973023993737514,0.08046606969566697,0.17045449342131636,1.0000102828051471,0.9999998644600907,0.9981550047968619,0.9999914451669333,0.9829915992061342,0.06344687633574785,0.18656226516055616
2.0,1.0,0.0001,0.6953602788817466,3.793224160269514,0.324227564925087,1.0000121140239064,0.9999093671795777,0.8160005695462647,0.9368157924610442,0.2425609710510032,4.346584231699638,4.123173105010668
2.0,1.0,0.001,0.8931100479345568,2.4741803449977766,0.3242275661100258,1.0000121140239064,0.9999798933001948,0.9944219917352736,0.9984878230084211,0.8086454808846986,3.0495904417837094,0.7377145579531992
2.0,1.0,0.01,0.8990094906939659,2.4672126259061558,0.32422777584782564,1.0000121140239064,0.9999996375277287,0.9981164604772681,0.9999748761018828,0.9860454073789638,3.058111366703329,0.17778259906926477
2.0,1.0,0.1,0.8990181392050612,2.4667775396895837,0.3242487479844568,1.0000121140239064,0.999999939271095,0.9980865331150808,0.9999961540518405,0.9901493831269482,3.0577679123474875,0.14993732365201762
4.0,1.0,0.0001,0.4889513558476948,18.852257401216995,0.44432030165917447,1.000016720403134,0.9952928670663646,0.6046320460805115,0.755753338912173,0.14066819837381994,24.16333287894872,6.868610231640565
4.0,1.0,0.001,0.7969113959455141,12.16153639304025,0.44432030568939873,1.000016720403134,0.9998738186855245,0.98584478095978,0.989481860024966,0.6115926912309215,15.640115936055562,1.3459743122328816
4.0,1.0,0.01,0.8080040406346801,11.866159371770003,0.44432042667237426,1.000016720403134,0.99999802005087,0.9985339067687717,0.9998048446136498,0.9746168569757913,15.262935775418079,0.2488209693253915
4.0,1.0,0.1,0.8081647881730686,11.862286089877825,0.4443326293585296,1.000016720403134,0.9999999126626773,0.9986909111024633,0.9999979224634556,0.9893738050042051,15.257645164256461,0.16609753325434168
8.0,1.0,0.0001,0.31854730348583726,113.29700391386221,0.4697402504722472,1.0000205029192941,0.9917784057611801,0.42976978972916063,0.41990335846282345,0.10899459556509264,157.7111776798108,8.637471155463631
8.0,1.0,0.001,0.7129793288266153,47.570647276531695,0.4697402522120599,1.0000205029192941,0.9997672202097715,0.9667303419187127,0.9606751670094458,0.508047637677725,65.59741043656135,1.9186310766774186
8.0,1.0,0.01,0.7356334502138869,46.79235804852871,0.4697403199420438,1.0000205029192941,0.9999915300951984,0.9984019224500671,0.9991893221623506,0.9569199538150854,64.47953003232097,0.36261902684819447
8.0,1.0,0.1,0.7359966118131126,46.575588459203296,0.4697469557515896,1.0000205029192941,0.9999999179024569,0.9988624088820304,0.9999893235756292,0.986200013809396,64.17325491840924,0.22480819234525176
