variant,beta,flattened_overall_cosine,flattened_drn_cosine,flattened_drn_relative_error,drn_all_mean_cosine,drn_all_min_cosine,drn_all_mean_ep_bp_norm_ratio,drn_all_min_ep_bp_norm_ratio,drn_all_max_ep_bp_norm_ratio,drn_weights_mean_cosine,drn_weights_min_cosine,drn_weights_mean_ep_bp_norm_ratio,drn_weights_min_ep_bp_norm_ratio,drn_weights_max_ep_bp_norm_ratio,drn_biases_mean_cosine,drn_biases_min_cosine,drn_biases_mean_ep_bp_norm_ratio,drn_biases_min_ep_bp_norm_ratio,drn_biases_max_ep_bp_norm_ratio
va1_comp_on_layer1_on,0.001,0.9932501007853393,0.9910985143229865,0.14178192064779724,0.9840709050980223,0.8801842260796469,1.0455567964972714,0.9806355887405681,1.1848978033786461,0.9615229259045968,0.8801842260796469,1.0691177026354064,0.9806355887405681,1.1848978033786461,0.9991028912269728,0.9982405906500091,1.0298495257385147,1.000035595006736,1.096875260379277
va1_comp_on_layer1_on,0.01,0.9972189711458476,0.9963156262648534,0.0943137997378047,0.9921355767023983,0.9529462236868439,1.0345271505335776,0.9762926159422411,1.0970138912750445,0.9811646388833141,0.9529462236868439,1.0435208919122738,0.9762926159422411,1.0970138912750445,0.9994495352484546,0.9983423750765962,1.02853132294778,1.000006463984274,1.0965054453103487
va4_comp_on_layer1_on,0.001,0.7986480591555861,0.873019269971849,13.556225354941533,0.9157654947985436,0.292713438046585,9.106668983246625,1.0002445545739698,17.601924908414826,0.7991780709377301,0.292713438046585,9.731118294739433,1.1308918322182628,17.601924908414826,0.993490444039086,0.9804204702945815,8.690369442251418,1.0002445545739698,17.035935228708674
va4_comp_on_layer1_on,0.01,0.8080773708492109,0.8834484436268569,13.227769467620245,0.9855382494426126,0.8813935095294565,8.817632319628796,0.9999652082963385,17.289395938026555,0.9648638414927297,0.8813935095294565,8.957845268303558,1.060687780472474,17.289395938026555,0.9993211880758676,0.9981299678870936,8.724157020512285,0.9999652082963385,17.199117494228787
va4_comp_off_layer1_on,0.001,0.4952695798738145,0.40201390611687454,0.9718985737868634,0.8543021034992394,0.292713438046585,0.17334978857815475,0.004026089851010282,1.0002445545739698,0.6566574866613663,0.292713438046585,0.07580307836920921,0.004347611390692973,0.22017329137760466,0.9860651813911548,0.9543804501258175,0.23838092871745176,0.004026089851010282,1.0002445545739698
va4_comp_off_layer1_on,0.01,0.4969320171241049,0.4557882629410429,0.9709361108338763,0.9827322013829086,0.8813935095294565,0.15802637546024045,0.0039098673848873226,0.9999652082963385,0.9579689813771237,0.8813935095294565,0.038076896255429794,0.0039977154368716,0.0777963601063519,0.9992410147200986,0.9981299678870936,0.23799269493011424,0.0039098673848873226,0.9999652082963385
va4_comp_on_layer1_off,0.001,0.637053750365323,0.7319934682841563,173.17010372820312,0.9432267555682696,0.5523401953258179,94.7336480767462,1.0001692552141874,275.4227522369049,0.8652530182930513,0.5523401953258179,137.55410927084392,4.489119069046515,275.4227522369049,0.9952092470850816,0.986369093807782,66.18667394734771,1.0001692552141874,257.20431595554476
va4_comp_on_layer1_off,0.01,0.6372702877569291,0.7322826725205771,174.75978872290102,0.9918179179943752,0.9511899019527401,94.46075846412899,0.9999818453296969,275.9947376103078,0.9805724760089052,0.9511899019527401,137.27423722086783,4.230648937004577,275.9947376103078,0.999314879318022,0.9981020097833568,65.91843929296977,0.9999818453296969,256.4718994985529
va4_comp_off_layer1_off,0.001,0.7049935733854891,0.7306497030881984,0.8420154370403905,0.9218856807263152,0.5523401953258179,0.2900024489961569,0.06296503529943695,1.0001692552141874,0.8126637557075185,0.5523401953258179,0.24534401444313092,0.06742083230631847,0.5562857382690604,0.9947002974055129,0.986369093807782,0.3197747386981743,0.06296503529943695,1.0001692552141874
va4_comp_off_layer1_off,0.01,0.717796955379896,0.8393314875627258,0.8332495424179794,0.9914725880158178,0.9511899019527401,0.2602549774039418,0.06262098309183065,0.9999818453296969,0.97971696183713,0.9511899019527401,0.1726663358526062,0.06542177819498923,0.29345028556423103,0.999309672134943,0.9981020097833568,0.3186474051048322,0.06262098309183065,0.9999818453296969
