variant,beta,group,tensor,cosine,relative_error,bp_norm,ep_norm,ep_bp_norm_ratio
va1_comp_on_layer1_on,0.001,block_0/drn,W0,0.9977327656093202,0.07330107750824344,2.337059497833252,2.3996548652648926,1.0267838142288095
va1_comp_on_layer1_on,0.001,block_0/drn,W1,0.9769141568696867,0.23903832433911984,0.5920892357826233,0.6419156789779663,1.0841536041936017
va1_comp_on_layer1_on,0.001,block_0/drn,b0,0.9999495304941761,0.010515251844856377,0.16674849390983582,0.16725651919841766,1.0030466559347548
va1_comp_on_layer1_on,0.001,block_0/drn,b1,0.9982405906500091,0.09663396137143708,0.49899569153785706,0.5361974835395813,1.0745533330900552
va1_comp_on_layer1_on,0.001,block_0/drn,b2,0.9992863867932205,0.03789052818824649,1.5454422235488892,1.5485031604766846,1.001980622038892
va1_comp_on_layer1_on,0.001,block_1/drn,W0,0.8801842260796469,0.5640457007796486,0.6348921060562134,0.7522822618484497,1.1848978033786461
va1_comp_on_layer1_on,0.001,block_1/drn,W1,0.9912605550597331,0.13267208529224556,0.9854934215545654,0.9664099216461182,0.9806355887405681
va1_comp_on_layer1_on,0.001,block_1/drn,b0,0.9988690176975308,0.04771616414791497,0.0496569462120533,0.04978633671998978,1.0026056879813738
va1_comp_on_layer1_on,0.001,block_1/drn,b1,0.9982785178376227,0.11472874657829267,0.07913652807474136,0.0868028998374939,1.096875260379277
va1_comp_on_layer1_on,0.001,block_1/drn,b2,0.9999933038892779,0.004276327576322202,0.3457889258861542,0.3458012342453003,1.000035595006736
va1_comp_on_layer1_on,0.01,block_0/drn,W0,0.9990615848346427,0.046858992976981616,2.337059497833252,2.3766703605651855,1.0169490176731306
va1_comp_on_layer1_on,0.01,block_0/drn,W1,0.9769232852291455,0.23885118188163032,0.5920892357826233,0.6417229175567627,1.083828042758679
va1_comp_on_layer1_on,0.01,block_0/drn,b0,0.9999955134959229,0.003191985806660982,0.16674849390983582,0.1669384241104126,1.001139021985287
va1_comp_on_layer1_on,0.01,block_0/drn,b1,0.9983423750765962,0.09420077335006737,0.49899569153785706,0.5353806614875793,1.0729164010165846
va1_comp_on_layer1_on,0.01,block_0/drn,b2,0.9999357517904026,0.011457312164684824,1.5454422235488892,1.5461502075195312,1.0004581109276387
va1_comp_on_layer1_on,0.01,block_1/drn,W0,0.9529462236868439,0.3356722743984494,0.6348921060562134,0.6964854598045349,1.0970138912750445
va1_comp_on_layer1_on,0.01,block_1/drn,W1,0.9957274617826241,0.09481043146914,0.9854934215545654,0.9621299505233765,0.9762926159422411
va1_comp_on_layer1_on,0.01,block_1/drn,b0,0.9999754417714414,0.007145360031951243,0.0496569462120533,0.04966501519083977,1.0001624944625473
va1_comp_on_layer1_on,0.01,block_1/drn,b1,0.9984459459229237,0.1127908304127703,0.07913652807474136,0.08677363395690918,1.0965054453103487
va1_comp_on_layer1_on,0.01,block_1/drn,b2,1.0000021834334403,0.0005610349921674825,0.3457889258861542,0.34579116106033325,1.000006463984274
va4_comp_on_layer1_on,0.001,block_0/drn,W0,0.9880609270646832,15.68157747418859,2.8522069454193115,47.54310607910156,16.668883776282968
va4_comp_on_layer1_on,0.001,block_0/drn,W1,0.9827375230065051,16.62022161685362,0.7037708163261414,12.387721061706543,17.601924908414826
va4_comp_on_layer1_on,0.001,block_0/drn,b0,0.9988165963163935,14.7874961165948,0.18480615317821503,2.9173929691314697,15.786232865948602
va4_comp_on_layer1_on,0.001,block_0/drn,b1,0.9977140593797004,16.038362540107894,0.5527762770652771,9.417060852050781,17.035935228708674
va4_comp_on_layer1_on,0.001,block_0/drn,b2,0.9865327821598938,15.183751776571741,1.459944486618042,23.606435775756836,16.16940643437826
va4_comp_on_layer1_on,0.001,block_1/drn,W0,0.292713438046585,3.3685497802676116,0.5947243571281433,2.095078706741333,3.5227726620416746
va4_comp_on_layer1_on,0.001,block_1/drn,W1,0.9332003956331472,0.4102589307352248,1.8136307001113892,2.0510201454162598,1.1308918322182628
va4_comp_on_layer1_on,0.001,block_1/drn,b0,0.9804204702945815,0.2010005698282126,0.05559547245502472,0.05674755945801735,1.020722676723804
va4_comp_on_layer1_on,0.001,block_1/drn,b1,0.9976179962060121,0.1489898527156792,0.08863644301891327,0.1001303642988205,1.1296748931751994
va4_comp_on_layer1_on,0.001,block_1/drn,b2,0.9998407598779353,0.017867281449692896,0.20601056516170502,0.20606094598770142,1.0002445545739698
va4_comp_on_layer1_on,0.01,block_0/drn,W0,0.9993254107460894,15.23727372253652,2.8522069454193115,46.31001663208008,16.236555593013573
va4_comp_on_layer1_on,0.01,block_0/drn,W1,0.9852591969345534,16.305036665829615,0.7037708163261414,12.16777229309082,17.289395938026555
va4_comp_on_layer1_on,0.01,block_0/drn,b0,0.9999911814215302,15.01175306082479,0.18480615317821503,2.959068536758423,16.011742498123912
va4_comp_on_layer1_on,0.01,block_0/drn,b1,0.9982733691257432,16.200954771956624,0.5527762770652771,9.507264137268066,17.199117494228787
va4_comp_on_layer1_on,0.01,block_0/drn,b2,0.9998001037194355,15.005141381877637,1.459944486618042,23.366294860839844,16.004920101426467
va4_comp_on_layer1_on,0.01,block_1/drn,W0,0.8813935095294565,0.5959770366650267,0.5947243571281433,0.7402782440185547,1.2447417617016303
va4_comp_on_layer1_on,0.01,block_1/drn,W1,0.9934772487608199,0.13298020249592526,1.8136307001113892,1.9236959218978882,1.060687780472474
va4_comp_on_layer1_on,0.01,block_1/drn,b0,0.9997340981783601,0.023053815363061784,0.05559547245502472,0.055605195462703705,1.0001748884801158
va4_comp_on_layer1_on,0.01,block_1/drn,b1,0.9981299678870936,0.14446535988235948,0.08863644301891327,0.10007248818874359,1.1290219325180963
va4_comp_on_layer1_on,0.01,block_1/drn,b2,0.9999984081230431,0.0024405822370812294,0.20601056516170502,0.20600339770317078,0.9999652082963385
va4_comp_off_layer1_on,0.001,block_0/drn,W0,0.43262846720282244,0.9965604847537283,2.8522069454193115,0.022848092019557953,0.008010671194897812
va4_comp_off_layer1_on,0.001,block_0/drn,W1,0.9680876457629104,0.9957918459870004,0.7037708163261414,0.0030597220174968243,0.004347611390692973
va4_comp_off_layer1_on,0.001,block_0/drn,b0,0.9543804501258175,0.9961580796074481,0.18480615317821503,0.0007440461777150631,0.004026089851010282
va4_comp_off_layer1_on,0.001,block_0/drn,b1,0.9976341221661635,0.9834016368474302,0.5527762770652771,0.009197349660098553,0.016638466666709796
va4_comp_off_layer1_on,0.001,block_0/drn,b2,0.9864972896764188,0.9377468685550028,1.459944486618042,0.09221384674310684,0.06316257062398312
va4_comp_off_layer1_on,0.001,block_1/drn,W0,0.292713438046585,0.9589473410972879,0.5947243571281433,0.1309424191713333,0.22017329137760466
va4_comp_off_layer1_on,0.001,block_1/drn,W1,0.9332003956331472,0.9343884123380578,1.8136307001113892,0.12818875908851624,0.07068073951364143
va4_comp_off_layer1_on,0.001,block_1/drn,b0,0.9804204702945815,0.9375378087451745,0.05559547245502472,0.0035467224661260843,0.06379516729523775
va4_comp_off_layer1_on,0.001,block_1/drn,b1,0.9976179962060121,0.7185180583801297,0.08863644301891327,0.025032591074705124,0.28241872329379986
va4_comp_off_layer1_on,0.001,block_1/drn,b2,0.9998407598779353,0.017867281449692896,0.20601056516170502,0.20606094598770142,1.0002445545739698
va4_comp_off_layer1_on,0.01,block_0/drn,W0,0.9719396166832598,0.9961148616031249,2.8522069454193115,0.011402311734855175,0.0039977154368716
va4_comp_off_layer1_on,0.01,block_0/drn,W1,0.9850655505349585,0.9958426619430413,0.7037708163261414,0.002970281057059765,0.0042205231989660644
va4_comp_off_layer1_on,0.01,block_0/drn,b0,0.9995115235486804,0.9960920425691359,0.18480615317821503,0.0007225675508379936,0.0039098673848873226
va4_comp_off_layer1_on,0.01,block_0/drn,b1,0.9982726209155791,0.9832337489771186,0.5527762770652771,0.009284296073019505,0.016795757086954594
va4_comp_off_layer1_on,0.01,block_0/drn,b2,0.9997994696678356,0.9374947231552927,1.459944486618042,0.09127415716648102,0.06251892315297371
va4_comp_off_layer1_on,0.01,block_1/drn,W0,0.8813935095294565,0.9321559150351394,0.5947243571281433,0.04626739025115967,0.0777963601063519
va4_comp_off_layer1_on,0.01,block_1/drn,W1,0.9934772487608199,0.9341725562065638,1.8136307001113892,0.12023099511861801,0.06629298627952962
va4_comp_off_layer1_on,0.01,block_1/drn,b0,0.9997340981783601,0.9375066504527401,0.05559547245502472,0.0034753247164189816,0.06251093053000724
va4_comp_off_layer1_on,0.01,block_1/drn,b1,0.9981299678870936,0.7184789715230812,0.08863644301891327,0.025018122047185898,0.2822554831295241
va4_comp_off_layer1_on,0.01,block_1/drn,b2,0.9999984081230431,0.0024405822370812294,0.20601056516170502,0.20600339770317078,0.9999652082963385
va4_comp_on_layer1_off,0.001,block_0/drn,W0,0.9958661213879414,260.4081331080978,2.0600404739379883,538.5028076171875,261.40399396511935
va4_comp_on_layer1_off,0.001,block_0/drn,W1,0.9796860451331212,274.4432042627367,0.6047917008399963,166.57339477539062,275.4227522369049
va4_comp_on_layer1_off,0.001,block_0/drn,b0,0.999302091385548,256.2049637033369,0.18244926631450653,46.92673873901367,257.20431595554476
