voltage_amp,current_amp,amp_ratio,group,tensor,kind,cosine,relative_error,bp_norm,ep_norm,ep_bp_norm_ratio
4.0,0.5,8.0,head,module.2.weight,other,1.0011550598003796,0.0,0.8013657927513123,0.8013657927513123,1.0
4.0,0.5,8.0,head,module.2.bias,other,1.0000001669593346,0.0,0.011175171472132206,0.011175171472132206,1.0
4.0,0.5,8.0,head,module.4.weight,other,1.000000099155597,0.0,3.6174583435058594,3.6174583435058594,1.0
4.0,0.5,8.0,head,module.4.bias,other,1.000000077912844,0.0,0.3606056272983551,0.3606056272983551,1.0
4.0,0.5,8.0,block_0/ff,base_ff.0.weight,bias,0.9987738277530422,0.9997881756769289,0.4016801714897156,8.520089613739401e-05,0.0002121112820217352
4.0,0.5,8.0,block_0/ff,base_ff.0.bias,bias,0.9998029437268914,0.9997659607120933,0.4815959930419922,0.00011275253200437874,0.00023412265391200508
4.0,0.5,8.0,block_0/drive,drive_scale,other,1.0000000412447818,0.9997860915633611,0.3898251950740814,8.340036583831534e-05,0.00021394298493832893
4.0,0.5,8.0,block_0/drn,W0,weight,0.6123877693905541,0.9998705125899772,2.0511515140533447,0.000433977460488677,0.00021157747612270757
4.0,0.5,8.0,block_0/drn,W1,weight,0.8327497550550362,0.9998703351194392,0.7511208057403564,0.00011710455146385357,0.0001559064142131268
4.0,0.5,8.0,block_0/drn,b0,bias,0.9970632453565461,0.9997668668621568,0.44652387499809265,0.00010439730976941064,0.0002338000622471902
4.0,0.5,8.0,block_0/drn,b1,bias,0.9940590810622072,0.9979751636364216,0.6731895208358765,0.0013713858788833022,0.002037146801067995
4.0,0.5,8.0,block_0/drn,b2,bias,0.994148926417996,0.9850448052256103,0.8443183898925781,0.01270212046802044,0.015044230494181843
4.0,0.5,8.0,block_1/ff,base_ff.0.weight,bias,0.9659583613256796,0.9877797353406422,0.04690532758831978,0.0005936610978096724,0.012656581423332902
4.0,0.5,8.0,block_1/ff,base_ff.0.bias,bias,0.9992301536098481,0.9847098218545974,0.024886062368750572,0.00038080866215750575,0.015302085822773119
4.0,0.5,8.0,block_1/drive,drive_scale,other,0.9999999960499676,0.9877164267832489,0.19015046954154968,0.0023357293102890253,0.012283584236843793
4.0,0.5,8.0,block_1/drn,W0,weight,0.2695985822369729,0.9918780971713025,0.6370772123336792,0.020312801003456116,0.03188436285304923
4.0,0.5,8.0,block_1/drn,W1,weight,0.9527195242409988,0.9926486973647868,2.412627935409546,0.018628183752298355,0.007721117491386505
4.0,0.5,8.0,block_1/drn,b0,bias,0.9988297069672566,0.9848751455944396,0.04852209612727165,0.0007347594364546239,0.015142780199094806
4.0,0.5,8.0,block_1/drn,b1,bias,0.9964835832498684,0.8613963230859195,0.03648397698998451,0.0050775445997715,0.13917190555090456
4.0,0.5,8.0,block_1/drn,b2,bias,0.9943886872488573,0.11092535263503919,0.044848788529634476,0.04310217872262001,0.9610555855737247
4.0,1.0,4.0,head,module.2.weight,other,1.0007332568980292,0.0,0.2941930890083313,0.2941930890083313,1.0
4.0,1.0,4.0,head,module.2.bias,other,1.000000157878163,0.0,0.0306899044662714,0.0306899044662714,1.0
4.0,1.0,4.0,head,module.4.weight,other,0.9999999750983465,0.0,1.9120004177093506,1.9120004177093506,1.0
4.0,1.0,4.0,head,module.4.bias,other,0.9999999817925399,0.0,0.16328848898410797,0.16328848898410797,1.0
4.0,1.0,4.0,block_0/ff,base_ff.0.weight,bias,0.9999999912853673,0.9960937475090116,0.4673458933830261,0.001825561746954918,0.0039062325630809143
4.0,1.0,4.0,block_0/ff,base_ff.0.bias,bias,0.9999999761681536,0.9960943371141067,0.17865386605262756,0.0006977716111578047,0.003905717948204134
4.0,1.0,4.0,block_0/drive,drive_scale,other,0.9999999707423157,0.9960934862934476,0.27811843156814575,0.0010864866198971868,0.003906561006299114
4.0,1.0,4.0,block_0/drn,W0,weight,0.999447461795063,0.9960405479586716,2.852205991744995,0.011299570091068745,0.003961694956034927
4.0,1.0,4.0,block_0/drn,W1,weight,0.9852504159738208,0.9958421530791977,0.7037706971168518,0.0029700438026338816,0.004220186794933784
4.0,1.0,4.0,block_0/drn,b0,bias,0.999999863950997,0.9960936722037286,0.1848069578409195,0.0007218836690299213,0.0039061498412376527
4.0,1.0,4.0,block_0/drn,b1,bias,0.99830214897041,0.9832406933265876,0.5527777075767517,0.009280066005885601,0.016788061238155284
4.0,1.0,4.0,block_0/drn,b2,bias,1.0000000954517683,0.937499867313556,1.4599463939666748,0.09124636650085449,0.062499806073658695
4.0,1.0,4.0,block_1/ff,base_ff.0.weight,bias,0.999999532071138,0.9374996799591654,0.050197701901197433,0.0031373733654618263,0.06250033859392648
4.0,1.0,4.0,block_1/ff,base_ff.0.bias,bias,0.9999998569719468,0.9375033345563585,0.030652549117803574,0.0019156808266416192,0.06249662366673955
4.0,1.0,4.0,block_1/drive,drive_scale,other,0.9999999900762337,0.9374851267566103,0.04990600049495697,0.003119868692010641,0.0625149012356922
4.0,1.0,4.0,block_1/drn,W0,weight,0.9479272698593967,0.9322835559509223,0.594723105430603,0.04266126826405525,0.07173299284070493
4.0,1.0,4.0,block_1/drn,W1,weight,0.9945725859325114,0.9341689107870931,1.8136298656463623,0.12009751796722412,0.06621942009342816
4.0,1.0,4.0,block_1/drn,b0,bias,1.0000001559268543,0.9375002889680153,0.05559547618031502,0.003474712371826172,0.06249991205321273
4.0,1.0,4.0,block_1/drn,b1,bias,0.9981424786182385,0.718455905425569,0.08863640576601028,0.02501976117491722,0.282274094472721
4.0,1.0,4.0,block_1/drn,b2,bias,1.0000013508340526,2.957810462821337e-05,0.20601047575473785,0.20601047575473785,1.0
