scale,beta,group,tensor,cosine,relative_error,bp_norm,ep_norm,ep_bp_norm_ratio
2.0,0.01,head,module.2.weight,1.0018449703704262,0.0,2.634364761888719e-07,2.634364761888719e-07,1.0
2.0,0.01,head,module.2.bias,1.0000000371732802,0.0,0.36588945984840393,0.36588945984840393,1.0
2.0,0.01,head,module.4.weight,0.9999999916795922,0.0,0.02370196394622326,0.02370196394622326,1.0
2.0,0.01,head,module.4.bias,0.9999999896027663,0.0,0.6262223720550537,0.6262223720550537,1.0
2.0,0.01,block_0/ff,base_ff.0.weight,nan,0.9999909271783312,5.200639918712113e-10,3.488025094992332e-14,6.706915205650513e-05
2.0,0.01,block_0/ff,base_ff.0.bias,0.11045114772428767,0.9947734083636827,2.980704849608884e-10,4.547473508864641e-11,0.15256369678672957
2.0,0.01,block_0/drive,drive_scale,nan,0.999821949552672,1.2385144299020823e-10,2.204852342097951e-14,0.00017802395263753754
2.0,0.01,block_0/drn,W0,nan,1.0,1.9631331227287774e-08,0.0,0.0
2.0,0.01,block_0/drn,W1,0.0019661925871919603,1.3701629265249928,1.5013604581781692e-08,1.4092325528736183e-08,0.9386370509475493
2.0,0.01,block_0/drn,b0,nan,1.0,1.955075035198206e-08,0.0,0.0
2.0,0.01,block_0/drn,b1,0.01894083833786278,1.1189750353013475,6.79166376471585e-08,3.541167359344399e-08,0.5213990977794755
2.0,0.01,block_0/drn,b2,0.17057099277106721,0.9860602938589196,4.082291695794993e-07,5.4307083274807155e-08,0.13303087413069167
2.0,0.01,block_1/ff,base_ff.0.weight,0.9996545492300503,0.9378509450819973,2.4998261793918175e-10,1.5541925385553768e-11,0.06217202425384217
2.0,0.01,block_1/ff,base_ff.0.bias,0.9999680316617089,0.9375248207305231,2.9222428565844893e-06,1.8257387068842945e-07,0.06247730926163384
2.0,0.01,block_1/drive,drive_scale,1.000000035233669,0.9357360022184688,1.238602970188296e-10,7.959758720199606e-12,0.06426400478427352
2.0,0.01,block_1/drn,W0,0.7011067183317444,0.9392746889059909,3.8569840654645304e-08,3.4607940957442906e-09,0.08972798531195064
