scale,beta,torch_param_count,drn_param_count,overall_cosine,flattened_drn_cosine,flattened_drn_relative_error,drn_local_mean_cosine,drn_weight_mean_cosine,drn_bias_mean_cosine,drn_finite_count,drn_weight_finite_count,drn_bias_finite_count,drn_weight_min_ratio,drn_weight_max_ratio,drn_bias_min_ratio,drn_bias_max_ratio,displacement_mean
1.0,0.001,8391570,1828544,1.0000350962557056,0.9997338008759113,0.023865300304873067,0.6195280159821209,0.6498191555028499,0.6013533322696836,8,3,5,0.06251279802913297,0.4380687019251388,0.04347712107648679,1.0,0.024670601046161082
1.0,0.01,8391570,1828544,1.0000350962557056,0.9997338154642801,0.023865359367516603,0.6360681594996371,0.6522456328508308,0.6263616754889209,8,3,5,0.06251279066547984,0.7862626737529131,0.06250003427788937,1.0,0.024670640542198904
2.0,0.001,16780306,6636928,1.0000779023539825,0.9998697323765137,0.018503460323852382,0.586549352385812,0.5663133993957649,0.5986909241798403,8,3,5,0.06250915925356981,0.49953927562865097,0.06250020013251127,1.0000000700055094,0.006931401998634044
2.0,0.01,16780306,6636928,1.0000779023539825,0.9998697323765137,0.01850344938852075,0.6113697893436704,0.5677727894561423,0.6375279892761871,8,3,5,0.06250917341006683,0.9386370509475493,0.06249991759249536,1.0000000700055094,0.006931686418583728
4.0,0.001,33557778,25211648,1.0001070677991286,0.9999745277307257,0.008800273666586545,0.6152648727897283,0.6346050682138046,0.6036607555352826,8,3,5,0.06250546931791828,0.39196557211126115,0.06155326989549772,1.0,0.010776935665405229
4.0,0.01,33557778,25211648,1.0001070677991286,0.9999745277307257,0.00880174301949168,0.5506523537760533,0.4738780037940297,0.6120718337616722,9,4,5,0.06250545465486756,1534.4626340248096,0.06250037704074121,2.076346476185763,0.010777294443304462
