algorithm,checkpoint_dir,seconds,epochs_recorded,train_final,train_best,train_best_epoch,val_final,val_best,val_best_epoch,train_loss_final,val_loss_final,diagnostic_beta,displacement_mean,displacement_block0_mean,displacement_block1_mean,overall_cosine,overall_relative_error
ep,/home/filip/digital_drn/cases/cifar10_wider_ep_vs_bp_100epochs/runs/cifar10_wider_ep/20260408-134441-nom-cool-2,52.04,100,0.96875,1.0,94,0.3046875,0.3203125,39,0.15400736359879375,3.346043586730957,0.01,0.001058167374153575,0.0028724821257709527,0.000985090081237933,0.47037643500078097,0.9109776841738247
bp,/home/filip/digital_drn/cases/cifar10_wider_ep_vs_bp_100epochs/runs/cifar10_wider_bp/20260408-134533-nom-cool-2,45.24,100,0.921875,0.9765625,94,0.25,0.3046875,42,0.24523032922297716,3.5658605992794037,0.01,0.0016759844282694327,0.0031642400499794065,0.0015327188103897668,0.4726709180468621,0.9164462611869962
