target,target_type,count,intercept_C,ratio_exponent_k,ratio_fit_r2,a_exponent,b_exponent,two_factor_r2
drive_all,path,9,0.8435354380195386,3.129184587061229,0.8844107031427088,-2.6755104728101586,3.237476753916893,0.8888481449282587
drn_all,path,9,1.619500874016717,2.1066021612469026,0.9246548310153052,-1.463256545709619,2.2601689805895355,0.9452400896126278
ff_all,path,9,0.7039842336101397,2.852379694932147,0.94924398136256,-3.2333436270313167,2.761443473523575,0.9532858662885179
block_0/drn/W0,weight,9,1.4558382997504868,3.7824644164503876,0.9449856892031605,-3.183180808522016,3.9255136194466314,0.9506479956593876
block_0/drn/W1,weight,9,8.603274365801045,5.403058764266233,0.9822162722980103,-4.116931735684177,5.710057727622798,0.9955008733593258
block_0/drn/b0,bias,9,0.9933798305370208,3.9903981129784207,0.9999755041566606,-3.9816169339776892,3.992494183421201,0.9999766600442817
block_0/drn/b1,bias,9,1.107260112518662,3.01791947121613,0.9999718663023013,-3.0201050175511117,3.01739778055549,0.9999719914853625
block_0/drn/b2,bias,9,0.9866458950122139,1.976838742121717,0.999843260453201,-1.9763447332705342,1.9769566622041272,0.9998432753575133
block_1/drn/W0,weight,9,1.6696621919200152,1.5553900016992805,0.7450178929479191,-0.9319824831550189,1.7041975904432773,0.7735862465496874
block_1/drn/W1,weight,9,4.60890980750714,2.986043464056172,0.9479055006013367,-1.8389058205024709,3.259865613479891,0.9812986130788125
block_1/drn/b0,bias,9,0.9919199325802609,1.9868138929900636,0.9999378298152936,-1.983866904987477,1.9875173400382258,0.9999383549471947
block_1/drn/b1,bias,9,1.1322818005238546,0.9982413467715451,0.9995634163120322,-1.0152545746907131,0.9941802834251882,0.9996327214972106
block_1/drn/b2,bias,9,1.009425955633727,0.01593890483979265,0.47084068032359316,-0.016692845326508162,0.015758938986723377,0.4710921491749277
