num_iterations,voltage_amp,current_amp,amp_ratio,group,tensor,kind,cosine,relative_error,bp_norm,ep_norm,ep_bp_norm_ratio
128,4.0,1.0,4.0,head,module.2.weight,other,1.0008747847429538,0.0,1.8242290019989014,1.8242290019989014,1.0
128,4.0,1.0,4.0,head,module.2.bias,other,0.9999999183777978,0.0,0.014658222906291485,0.014658222906291485,1.0
128,4.0,1.0,4.0,head,module.4.weight,other,1.0000003944563218,0.0,5.808175563812256,5.808175563812256,1.0
128,4.0,1.0,4.0,head,module.4.bias,other,0.9999998574690373,0.0,0.40013211965560913,0.40013211965560913,1.0
128,4.0,1.0,4.0,block_0/ff,base_ff.0.weight,bias,0.9999853877433578,0.996083295408766,0.18257486820220947,0.000715114118065685,0.003916826697493029
128,4.0,1.0,4.0,block_0/ff,base_ff.0.bias,bias,0.9999995043222561,0.9960944050922601,0.2573215961456299,0.0010049977572634816,0.0039056098373286482
128,4.0,1.0,4.0,block_0/drive,drive_scale,other,0.9999999944146738,0.9960621928299346,0.14084897935390472,0.0005546418251469731,0.003937847669831886
128,4.0,1.0,4.0,block_0/drn,W0,weight,0.9981239703961423,0.9960952917958839,1.302332878112793,0.005094816908240318,0.0039120696358547
128,4.0,1.0,4.0,block_0/drn,W1,weight,0.9905429648815487,0.9952672155688623,1.1148452758789062,0.0053268903866410255,0.0047781432113451665
128,4.0,1.0,4.0,block_0/drn,b0,bias,0.999988522747143,0.9961063913302033,0.707627534866333,0.0027552128303796053,0.003893591889269897
128,4.0,1.0,4.0,block_0/drn,b1,bias,0.9999875824272777,0.9844060052098208,1.6704518795013428,0.02604920230805874,0.015594105180590328
128,4.0,1.0,4.0,block_0/drn,b2,bias,0.9999419052686034,0.9376925130761147,2.477062702178955,0.15434907376766205,0.062311330929123616
128,4.0,1.0,4.0,block_1/ff,base_ff.0.weight,bias,0.9999577897794341,0.9373889949338086,0.56044602394104,0.03509169816970825,0.06261387657449054
128,4.0,1.0,4.0,block_1/ff,base_ff.0.bias,bias,0.9999515011929786,0.9374682099181454,0.039300598204135895,0.0024576655123382807,0.06253506624944051
128,4.0,1.0,4.0,block_1/drive,drive_scale,other,1.000000040744042,0.937740295709186,0.20084448158740997,0.012504521757364273,0.062259722838947665
128,4.0,1.0,4.0,block_1/drn,W0,weight,0.8576329265933201,0.9382670968931235,2.633267879486084,0.1918477565050125,0.07285538930526661
128,4.0,1.0,4.0,block_1/drn,W1,weight,0.7340524757458171,0.9392881472971836,1.732204794883728,0.14746861159801483,0.08513347384419027
128,4.0,1.0,4.0,block_1/drn,b0,bias,0.9990065357385485,0.9376879030569143,0.04146399721503258,0.0025864606723189354,0.06237846917906955
128,4.0,1.0,4.0,block_1/drn,b1,bias,0.9999369394301874,0.7505461031241287,0.062354426831007004,0.015555886551737785,0.24947525528375647
128,4.0,1.0,4.0,block_1/drn,b2,bias,0.9999661128051428,0.00858232203768963,0.10673511028289795,0.10655522346496582,0.9983146425065254
