num_iterations,voltage_amp,current_amp,amp_ratio,group,tensor,kind,cosine,relative_error,bp_norm,ep_norm,ep_bp_norm_ratio
128,1.0,1.0,1.0,head,module.2.weight,other,1.0009334376853682,0.0,1.654357671737671,1.654357671737671,1.0
128,1.0,1.0,1.0,head,module.2.bias,other,1.0000000457917246,0.0,0.04547329992055893,0.04547329992055893,1.0
128,1.0,1.0,1.0,head,module.4.weight,other,0.9999995262147888,0.0,7.935139179229736,7.935139179229736,1.0
128,1.0,1.0,1.0,head,module.4.bias,other,1.0000001598594204,0.0,0.5400704741477966,0.5400704741477966,1.0
128,1.0,1.0,1.0,block_0/ff,base_ff.0.weight,bias,0.9999557174755735,0.019334374878188863,0.08199935406446457,0.08338078111410141,1.0168468040437346
128,1.0,1.0,1.0,block_0/ff,base_ff.0.bias,bias,0.99999808103092,0.012902466212454467,0.07781945914030075,0.07682705670595169,0.9872473743031308
128,1.0,1.0,1.0,block_0/drive,drive_scale,other,1.0000000385585808,0.02329594158482958,0.07645371556282043,0.07823477685451508,1.0232959415848295
128,1.0,1.0,1.0,block_0/drn,W0,weight,0.9986243326909529,0.05318484361806824,0.6379329562187195,0.6427331566810608,1.0075246158950526
128,1.0,1.0,1.0,block_0/drn,W1,weight,0.9816009739124077,0.19793692542729846,0.567041277885437,0.5861859917640686,1.0337624695507608
128,1.0,1.0,1.0,block_0/drn,b0,bias,0.999971686117911,0.008067106537699617,0.37923169136047363,0.378136545419693,0.9971121982531264
128,1.0,1.0,1.0,block_0/drn,b1,bias,0.9999750246233585,0.007250467117906939,0.8937961459159851,0.892126739025116,0.9981322285864656
128,1.0,1.0,1.0,block_0/drn,b2,bias,0.9995860341225575,0.02882307148996571,1.4179959297180176,1.415139079093933,0.9979852899686019
128,1.0,1.0,1.0,block_1/ff,base_ff.0.weight,bias,0.9988868817603097,0.04726015472190399,0.22243985533714294,0.2215406447649002,0.9959575114321134
128,1.0,1.0,1.0,block_1/ff,base_ff.0.bias,bias,0.9995144621611004,0.031205864205535973,0.028797997161746025,0.028735565021634102,0.9978320665926429
128,1.0,1.0,1.0,block_1/drive,drive_scale,other,1.0000000496488772,0.0040029920822944,0.5205700993537903,0.5184862613677979,0.9959970079177056
128,1.0,1.0,1.0,block_1/drn,W0,weight,0.6688237648694972,1.147767506966724,1.5179381370544434,2.342665195465088,1.543320599356589
128,1.0,1.0,1.0,block_1/drn,W1,weight,0.7952073834914888,0.7598848838012672,1.238856554031372,1.5523805618286133,1.2530753110818202
128,1.0,1.0,1.0,block_1/drn,b0,bias,0.9895534293804631,0.14560895377285293,0.020523441955447197,0.020729226991534233,1.0100268286642056
128,1.0,1.0,1.0,block_1/drn,b1,bias,0.9994147039045334,0.03418152406447025,0.035629745572805405,0.03561785817146301,0.9996663630022813
128,1.0,1.0,1.0,block_1/drn,b2,bias,0.9999272600724337,0.012041124513589796,0.12748359143733978,0.12747390568256378,0.9999240235181108
