voltage_amp,current_amp,amp_ratio,group,tensor,kind,cosine,relative_error,bp_norm,ep_norm,ep_bp_norm_ratio
2.0,0.5,4.0,head,module.2.weight,other,1.000981192042624,0.0,0.6339765191078186,0.6339765191078186,1.0
2.0,0.5,4.0,head,module.2.bias,other,0.9999998614592664,0.0,0.01700291782617569,0.01700291782617569,1.0
2.0,0.5,4.0,head,module.4.weight,other,1.0000001019924971,0.0,3.35561466217041,3.35561466217041,1.0
2.0,0.5,4.0,head,module.4.bias,other,0.9999999704059843,0.0,0.33483418822288513,0.33483418822288513,1.0
2.0,0.5,4.0,block_0/ff,base_ff.0.weight,bias,0.9915795045090536,0.995841596815661,0.3417617976665497,0.0014333215076476336,0.004193919617212739
2.0,0.5,4.0,block_0/ff,base_ff.0.bias,bias,0.9992831718063868,0.9960710162247345,0.5504767298698425,0.002164379693567753,0.0039318277705935175
2.0,0.5,4.0,block_0/drive,drive_scale,other,1.0000000394665187,0.9966730430960756,0.20349059998989105,0.0006770064355805516,0.003326966629486491
2.0,0.5,4.0,block_0/drn,W0,weight,0.38866159253953975,0.9977986970641715,2.3486576080322266,0.01338520273566246,0.005699086444054726
2.0,0.5,4.0,block_0/drn,W1,weight,0.6153188736827242,0.9978183123855099,0.9379103779792786,0.003331291489303112,0.003551822826057599
2.0,0.5,4.0,block_0/drn,b0,bias,0.9975023906086321,0.9960911040036734,0.47613316774368286,0.0018658536719158292,0.003918764325446606
2.0,0.5,4.0,block_0/drn,b1,bias,0.9959802852700538,0.9829514066797411,0.7084482908248901,0.012127663940191269,0.01711862968300803
2.0,0.5,4.0,block_0/drn,b2,bias,0.9769769670197087,0.9379092907123932,0.9673323035240173,0.0615750215947628,0.06365446638186625
2.0,0.5,4.0,block_1/ff,base_ff.0.weight,bias,0.9944034435827235,0.9377281985138558,0.1779523342847824,0.011147966608405113,0.06264580149066598
2.0,0.5,4.0,block_1/ff,base_ff.0.bias,bias,0.987386913943733,0.9368228469552383,0.029311979189515114,0.001877131755463779,0.06403974782212006
