target,target_type,count,intercept_C,ratio_exponent_k,ratio_fit_r2,a_exponent,b_exponent,two_factor_r2
drive_all,path,3,0.8759322383629596,3.1104186762154216,0.9999316322730128,-3.1104186762154216,0.0,0.9999316322730128
drn_all,path,3,0.4416132864639725,1.3740625044164039,0.9893716143131879,-1.3740625044164039,0.0,0.9893716143131879
ff_all,path,3,0.5969566660018806,3.1125567556018225,0.9972524827018816,-3.1125567556018225,0.0,0.9972524827018816
block_0/drn/W0,weight,3,0.9740206391943066,3.951741356341611,0.9999880276292451,-3.951741356341611,0.0,0.9999880276292451
block_0/drn/W1,weight,3,1.1203373604043216,4.025290635590349,0.9999993949218757,-4.025290635590349,0.0,0.9999993949218757
block_0/drn/b0,bias,3,0.9985293932363281,3.9985389616223665,0.9999999967663843,-3.9985389616223665,0.0,0.9999999967663843
block_0/drn/b1,bias,3,1.0621370510444295,2.991727544541895,0.999999980674222,-2.991727544541895,0.0,0.999999980674222
block_0/drn/b2,bias,3,0.9996338300047432,1.9995701462250872,0.9999999939759393,-1.9995701462250872,0.0,0.9999999939759393
block_1/drn/W0,weight,3,1.1344049223646773,1.9531603779529019,0.9999964403559706,-1.9531603779529019,0.0,0.9999964403559706
block_1/drn/W1,weight,3,0.9770734748737596,1.936250732546045,0.99999690180869,-1.936250732546045,0.0,0.99999690180869
block_1/drn/b0,bias,3,0.9999780294422375,1.999899721071463,0.9999999979176472,-1.999899721071463,0.0,0.9999999979176472
block_1/drn/b1,bias,3,1.090155090171152,0.9745285056845088,0.9999987622009656,-0.9745285056845088,0.0,0.9999987622009656
block_1/drn/b2,bias,3,1.0000365977299028,3.577786786025091e-05,0.9195344540972282,-3.577786786025091e-05,0.0,0.9195344540972282
