algorithm,tensor,shape,bp_norm,ep_norm,ep_over_bp,relative_gap
ep,block_0/ff/base_ff.0.bias,[3],0.44842201471328735,0.0015153572894632816,0.0033793106487694916,0.9966206893512305
ep,block_0/drive/drive_scale_raw,[],0.21342891454696655,0.0007341030286625028,0.0034395668938332073,0.9965604331061668
ep,block_0/ff/base_ff.0.weight,[3],0.566604495048523,0.0020104392897337675,0.003548223332682169,0.9964517766673179
ep,block_0/drn/ConvWeight_0,"[32, 6, 3, 3]",3.158714532852173,0.011769561097025871,0.0037260603877357994,0.9962739396122642
ep,block_0/drn/ConvWeight_1,"[64, 32, 3, 3]",6.005997657775879,0.022533893585205078,0.0037518984970017046,0.9962481015029983
ep,block_0/drn/Bias_0,"[6, 32, 32]",0.29404619336128235,0.001180218649096787,0.004013718510025741,0.9959862814899743
ep,block_0/drn/Bias_1,"[32, 32, 32]",2.0529651641845703,0.03232792392373085,0.015746942270484836,0.9842530577295152
ep,block_1/ff/base_ff.0.weight,[64],0.12016060203313828,0.007185334339737892,0.05979775582146549,0.9402022441785345
ep,block_1/ff/base_ff.0.bias,[64],0.18696042895317078,0.011250360868871212,0.060175091231145846,0.9398249087688542
ep,block_0/drn/Bias_2,"[64, 32, 32]",7.620027542114258,0.474826842546463,0.06231300870268472,0.9376869912973153
ep,block_1/drn/Bias_3,"[128, 16, 16]",0.07847296446561813,0.0049029188230633736,0.06247908252798989,0.9375209174720102
ep,block_1/drive/drive_scale_raw,[],0.07802652567625046,0.004897710867226124,0.06276981865818074,0.9372301813418192
ep,block_1/drn/ConvWeight_2,"[256, 128, 3, 3]",1.3014718294143677,0.09054972231388092,0.06957486152783361,0.9304251384721663
ep,block_1/drn/ConvWeight_3,"[512, 256, 3, 3]",4.90871524810791,0.40644052624702454,0.08279977666329069,0.9172002233367093
ep,block_1/drn/Bias_4,"[256, 16, 16]",0.2815801501274109,0.07478244602680206,0.26558138417414756,0.7344186158258524
ep,block_1/drn/Bias_5,"[512, 16, 16]",0.7439408302307129,0.7462989091873169,1.0031697130481099,0.0031697130481099017
ep,head/module.2.weight,"[256, 32768]",0.40416255593299866,0.40416255593299866,1.0,0.0
ep,head/module.2.bias,[256],0.05172944813966751,0.05172944813966751,1.0,0.0
ep,head/module.4.weight,"[10, 256]",1.8784236907958984,1.8784236907958984,1.0,0.0
ep,head/module.4.bias,[10],0.15981242060661316,0.15981242060661316,1.0,0.0
bp,block_0/drn/ConvWeight_4,"[32, 6, 3, 3]",1.5686571598052979,0.0061352429911494255,0.003911143332244079,0.9960888566677559
bp,block_0/ff/base_ff.0.weight,[3],0.1253499537706375,0.0004976417985744774,0.0039700198014037645,0.9960299801985962
bp,block_0/drn/Bias_6,"[6, 32, 32]",0.2685112953186035,0.0010689147748053074,0.003980893144688684,0.9960191068553114
bp,block_0/ff/base_ff.0.bias,[3],0.10960584133863449,0.0004401002952363342,0.004015299639702735,0.9959847003602973
bp,block_0/drn/ConvWeight_5,"[64, 32, 3, 3]",0.6057461500167847,0.0025231821928173304,0.004165411852386376,0.9958345881476136
bp,block_0/drive/drive_scale_raw,[],0.10344734787940979,0.0004388949600979686,0.004242689339987675,0.9957573106600123
bp,block_0/drn/Bias_7,"[32, 32, 32]",1.1919453144073486,0.019420627504587173,0.016293220225663936,0.9837067797743361
bp,block_1/drive/drive_scale_raw,[],0.10824036598205566,0.006177402567118406,0.05707115373337254,0.9429288462666274
bp,block_1/drn/Bias_9,"[128, 16, 16]",0.05772934481501579,0.0036950339563190937,0.06400616477043389,0.9359938352295661
bp,block_0/drn/Bias_8,"[64, 32, 32]",3.796924114227295,0.24461320042610168,0.06442404247941691,0.9355759575205831
bp,block_1/ff/base_ff.0.weight,[64],0.04651512950658798,0.0031484777573496103,0.06768717599514988,0.9323128240048502
bp,block_1/drn/ConvWeight_6,"[256, 128, 3, 3]",0.31967076659202576,0.023478424176573753,0.07344564042209616,0.9265543595779039
bp,block_1/drn/ConvWeight_7,"[512, 256, 3, 3]",1.623752474784851,0.14864857494831085,0.09154632695356289,0.9084536730464371
bp,block_1/ff/base_ff.0.bias,[64],0.06638793647289276,0.006482716184109449,0.09764900866826075,0.9023509913317392
bp,block_1/drn/Bias_10,"[256, 16, 16]",0.1240798830986023,0.033687882125377655,0.27150156241368295,0.728498437586317
bp,block_1/drn/Bias_11,"[512, 16, 16]",0.36102885007858276,0.36546844244003296,1.0122970570370868,0.012297057037086811
bp,head/module.2.weight,"[256, 32768]",0.47264131903648376,0.47264131903648376,1.0,0.0
bp,head/module.2.bias,[256],0.041208118200302124,0.041208118200302124,1.0,0.0
bp,head/module.4.weight,"[10, 256]",2.0335240364074707,2.0335240364074707,1.0,0.0
bp,head/module.4.bias,[10],0.1727246344089508,0.1727246344089508,1.0,0.0
