algorithm,voltage_amp,current_amp,checkpoint_dir,seconds,epochs_recorded,train_final,train_best,train_best_epoch,val_final,val_best,val_best_epoch,train_loss_final,val_loss_final,diagnostic_beta,displacement_mean,displacement_block0_mean,displacement_block1_mean,overall_cosine,overall_relative_error
ep,4.0,1.0,/home/filip/digital_drn/cases/cifar10_wider_ep_vs_bp_va4_ca1_100epochs_2analogconv/runs/cifar10_wider_va4_ca1_2analogconv_ep/20260408-153047-nom-cool-2,129.29,100,0.6015625,0.640625,94,0.21875,0.3125,49,1.1807934865355492,3.0405854284763336,0.01,0.2620500167309529,0.013746148492741377,0.26417271156888095,0.4014738104614909,0.9415177242132644
bp,4.0,1.0,/home/filip/digital_drn/cases/cifar10_wider_ep_vs_bp_va4_ca1_100epochs_2analogconv/runs/cifar10_wider_va4_ca1_2analogconv_bp/20260408-153257-nom-cool-2,101.04,100,0.5859375,0.703125,99,0.1796875,0.3203125,25,1.1415837928652763,2.90703746676445,0.01,0.4795858902756609,0.008381102122428749,0.4808337198695497,0.522830885821229,0.8586425292371881
