beta,overall_positive,overall_negative,overall_mean,block_0_positive,block_1_positive,block_0_negative,block_1_negative,block_0_mean,block_1_mean
0.0001,0.7290040012416796,0.7290040012416796,0.7290040012416796,0.7341596770356429,0.716472314498578,0.7341596770356429,0.716472314498578,0.7341596770356429,0.716472314498578
0.001,0.7290038948100318,0.7290041114744412,0.7290040031422365,0.7341595701099797,0.7164722092599789,0.7341597946538546,0.7164724065823393,0.7341596823819172,0.7164723079211591
0.01,0.7290027468676998,0.7290052613151861,0.729004004091443,0.7341583725414869,0.7164711831828283,0.7341609922200276,0.7164734392351395,0.7341596823807572,0.7164723112089839
0.1,0.7289913680766568,0.729016647491506,0.7290040077840814,0.7341465143694544,0.7164609815281471,0.734172860850591,0.7164836407124416,0.7341596876100227,0.7164723111202944
