algorithm,voltage_amp,current_amp,checkpoint_dir,seconds,epochs_recorded,train_final,train_best,train_best_epoch,val_final,val_best,val_best_epoch,train_loss_final,val_loss_final,diagnostic_beta,displacement_mean,displacement_block0_mean,displacement_block1_mean,overall_cosine,overall_relative_error
ep,4.0,1.0,/home/filip/digital_drn/cases/cifar10_wider_ep_vs_bp_va4_ca1_100epochs/runs/cifar10_wider_va4_ca1_ep/20260408-141204-nom-cool-2,52.7,100,0.9375,0.9921875,86,0.2578125,0.34375,42,0.2038582731038332,3.5711692571640015,0.01,0.00225714948581859,0.0018652591570438703,0.0022625237611176505,0.6044802765439636,0.860458731110489
bp,4.0,1.0,/home/filip/digital_drn/cases/cifar10_wider_ep_vs_bp_va4_ca1_100epochs/runs/cifar10_wider_va4_ca1_bp/20260408-141257-nom-cool-2,46.0,100,0.921875,0.9765625,94,0.25,0.3046875,42,0.24523032922297716,3.5658605992794037,0.01,0.0023624883269365263,0.004487023414407317,0.0022266947476868937,0.5558338936510804,0.894322329016725
